Ingenuity Canonical Pathways,nlogp,Ratio,z-score,combined,Molecules
Induction of Apoptosis by HIV1,3.63,0.273,0,0,"BBC3,BIRC2,CASP3,CASP8,CYC1,IKBKE,MAP2K7,MAP3K14,NFKB2,NFKBIA,NGFR,RELA,RELB,SLC25A13,TNFRSF11B,TNFRSF1B,TP53,TRAF2"
Death Receptor Signaling,3.47,0.237,0,0,"BIRC2,CASP2,CASP3,CASP6,CASP7,CASP8,CRADD,CYC1,IKBKE,MAP2K7,MAP3K14,NFKB2,NFKBIA,PARP9,RELA,RELB,TIPARP,TNFRSF1B,TNFRSF21,TNFRSF25,TNFSF12,TNFSF15,TRAF2"
Cerebral Malformation Signaling Pathway,3.31,0.212,0,0,"AKT1,CCL2,CDKN1A,CTNNA1,CTNNB1,F8,HEG1,IL1A,IL1B,KDR,MAPK7,MSN,MYL12A,MYL12B,PDGFC,PIK3C2B,PIK3R1,PIK3R3,PPP2R1B,PPP2R2A,PPP2R5A,PPP2R5D,PTK2,RAP1A,SNAI2,STRN4,THBD,TLR4,ULK1"
Macropinocytosis Signaling,3.27,0.25,0,0,"ANKFY1,CD14,CSF1R,ITGB3,ITGB6,ITGB8,NGF,PAK1,PDGFA,PDGFC,PIK3C2B,PIK3R1,PIK3R3,PRKCD,PRKCI,RAP1A,RASD1,RRAS,USP6NL"
Beta-catenin independent WNT signaling,3.23,0.19,0,0,"AGO2,AGO4,AP2A1,AP2M1,AXIN2,CTNNB1,DVL1,DVL3,FZD1,FZD2,FZD5,GNB1,GNG11,LEF1,MYC,NME1,NME7,PIK3C2B,PIK3R1,PIK3R3,PLCB3,PPP3CA,PSMA2,PSMA3,PSMA4,PSMB2,PSMC1,PSMC2,PSME3,PSME4,ROR1,SMURF2,SPHK1,SPHK2,SRPK3,STK10,STK3,STK32C,STK39"
Lymphotoxin β Receptor Signaling,3.12,0.273,0,0,"AKT1,BIRC2,CASP3,CYC1,IKBKE,MAP3K14,NFKB2,NFKBIA,PIK3C2B,PIK3R1,PIK3R3,RELA,RELB,TRAF2,TRAF3"
Signaling by NTRK3 (TRKC),2.97,0.333,0,0,"CASP2,CASP3,CASP4,CASP6,CASP7,CASP8,NELFB,PIK3R1,PTPRS,SOS1"
Extra-nuclear estrogen signaling,2.91,0.24,0,0,"AKT1,AREG,BTC,CAV1,CCND1,EGFR,EREG,ESR2,GNAI1,GNB1,GNG11,HBEGF,PIK3R1,PIK3R3,PTK2,SPHK1,SRF,ZDHHC21"
Signaling by BMP,2.85,0.323,0,0,"ACVR2B,BMP2,BMPR1A,FSTL1,NOG,SMAD4,SMAD6,SMURF2,TGFBR3,ZFYVE16"
CDX Gastrointestinal Cancer Signaling Pathway,2.71,0.183,0,0,"AKT1,AXIN2,BMP1,BMP2,BMP4,BMP8B,BRAF,CCND1,CTNNB1,CYBB,EGFR,FZD1,FZD2,FZD5,HBEGF,IKBKE,IL1A,IL1B,JAK3,LEF1,MAP2K1,MAPK13,NFKB2,PIK3C2B,PIK3R1,PIK3R3,RELA,RELB,SMAD4,TCF3,TGFB1,TGFB3,TNFSF12,TNFSF15,TNFSF9,WNT2B"
Nucleotide biosynthesis,2.59,0.429,0,0,"ADSL,ADSS2,CAD,GART,IMPDH1,UMPS"
Post-translational protein phosphorylation,2.49,0.206,0,0,"APOE,APOL1,BMP4,CCN1,FSTL1,FUCA2,GAS6,GOLM1,HSP90B1,KTN1,LAMB1,LAMC1,MBTPS1,MELTF,PCSK9,PNPLA2,QSOX1,SCG2,SDC2,SHISA5,TIMP1,TNC"
Ion channel transport,2.18,0.175,0,0,"ASIC3,ASIC4,ATP1A1,ATP1B1,ATP1B3,ATP2A1,ATP2B4,ATP2C1,ATP6V0A1,ATP6V0D1,ATP6V0E1,ATP6V0E2,ATP6V1C1,ATP6V1G1,ATP6V1H,ATP7B,ATP8A1,ATP8B1,ATP9A,ATP9B,CLCN4,CLIC2,CUTC,MCOLN1,MLKL,NEDD4L,OSTM1,SCNN1D,SGK2,TCIRG1,TRPM4,WNK4"
C-type lectin receptors (CLRs),2.01,0.179,0,0,"AHCYL1,CASP8,CDC34,FYN,IL1B,MALT1,MAP3K14,MUC1,MUC13,NFKB2,NFKBIA,PAK1,PPP3CA,PRKACB,PRKCD,PSMA2,PSMA3,PSMA4,PSMB2,PSMC1,PSMC2,PSME3,PSME4,RELA,RELB,UBE2V1"
Regulation of eIF4 and p70S6K Signaling,2.01,0.17,0,0,"AGO2,AGO4,AKT1,EIF2A,EIF2B4,EIF2B5,EIF3D,EIF3G,EIF3H,EIF4EBP1,ELP6,ITGAE,ITGB3,ITGB6,ITGB8,MAP2K1,MAPK13,MT-RNR2,PIK3C2B,PIK3R1,PIK3R3,PPP2R1B,PPP2R2A,PPP2R2D,PPP2R5A,PPP2R5D,RAP1A,RASD1,RPS16,RPS19,RRAS,SOS1"
Neurotrophin/TRK Signaling,1.95,0.205,0,0,"AKT1,BDNF,CREB3L2,MAP2K1,MAP2K6,MAP2K7,NGF,NGFR,PIK3C2B,PIK3R1,PIK3R3,RAP1A,RASD1,RRAS,SOS1,SPRY2"
Ribavirin ADME,1.84,0.209,0,0,"ADA,NME1,NME7,PIK3C2B,PIK3R1,PIK3R3,SLC29A3,SPHK1,SPHK2,SRPK3,STK10,STK3,STK32C,STK39"
Transport of inorganic cations/anions and amino acids/oligopeptides,1.81,0.185,0,0,"SLC12A2,SLC12A4,SLC12A7,SLC24A1,SLC26A2,SLC36A1,SLC38A4,SLC43A1,SLC4A2,SLC4A4,SLC4A5,SLC4A7,SLC6A12,SLC7A2,SLC7A6,SLC9A1,SLC9A5,SLC9A6,SLC9A7,SLC9A8"
Sphingolipid metabolism,1.73,0.182,0,0,"A4GALT,ARSB,ARSL,ASAH1,CERK,CERS2,CERS5,CTSA,CYB5B,DEGS1,DEGS2,GM2A,KDSR,M6PR,SGPP2,SPHK1,SPHK2,ST6GALNAC5,STS,SUMF1"
Metabolism of non-coding RNA,1.73,0.214,0,0,"GEMIN2,NCBP1,NCBP2,NDC1,NUP160,NUP188,NUP214,NUP42,NUP50,NUP62,NUP93,PHAX"
Adrenergic Receptor Signaling Pathway (Enhanced),1.7,0.162,0,0,"ADCY6,ADCY7,ADRA1B,ADRB2,ATP6V0A1,ATP6V0D1,ATP6V0E1,ATP6V0E2,ATP6V1C1,ATP6V1G1,ATP6V1H,BDNF,CACNA1F,CACNA2D2,CACNG7,CATSPER3,COMT,DBH,GNAI1,IL1A,IL1B,PLCB3,PLCD3,PRKACB,PRKCD,PRKCI,TCIRG1,TGFB1,TGFB3,TNFSF12,TNFSF15,TNFSF9"
BER (Base Excision Repair) Pathway,1.68,0.227,0,0,"FEN1,MAP2K1,MAP2K6,MAP2K7,POLB,POLG,RFC2,RFC3,TP53,XRCC1"
RNA Polymerase I Transcription,1.49,0.189,0,0,"CHD3,ERCC2,H2AC6,HDAC1,KAT2B,MBD3,MNAT1,MTA1,POLR1A,POLR1D,POLR2L,RBBP4,TAF1D,TBP"
SUMOylation of SUMOylation proteins,1.45,0.229,0,0,"NDC1,NUP160,NUP188,NUP214,NUP42,NUP50,NUP62,NUP93"
Role of p14/p19ARF in Tumor Suppression,1.44,0.241,0,0,"NPM3,PIK3C2B,PIK3R1,PIK3R3,POLR3D,RB1,TP53"
Purine Nucleotides De Novo Biosynthesis II,1.44,0.333,0,0,"ADSL,ADSS2,GART,IMPDH1"
SUMOylation of DNA damage response and repair proteins,1.36,0.182,0,0,"HDAC7,NDC1,NUP160,NUP188,NUP214,NUP42,NUP50,NUP62,NUP93,SMC1A,SMC5,SMC6,SUMO3,XRCC4"
Peroxisomal protein import,1.31,0.188,0,0,"AGPS,CRAT,CROT,ECI2,HMGCL,IDE,IDH1,PEX1,PEX26,PEX6,SCP2,TYSND1"
TP53 Regulates Transcription of Cell Death Genes,1.29,0.205,0,0,"BBC3,BCL6,CASP2,CASP6,CHM,CRADD,NDRG1,TNFRSF10D,TP53"
Metabolism of nitric oxide: NOS3 activation and regulation,1.21,0.286,0,0,"AKT1,CAV1,CYGB,ZDHHC21"
Regulation of TP53 Activity through Association with Co-factors,1.21,0.286,0,0,"AKT1,PPP1R13L,TP53,ZNF385A"
SUMOylation of ubiquitinylation proteins,1.2,0.205,0,0,"NDC1,NUP160,NUP188,NUP214,NUP42,NUP50,NUP62,NUP93"
DDX58/IFIH1-mediated induction of interferon-alpha/beta,1.2,0.173,0,0,"CASP8,HERC5,IFIH1,IKBKE,IRF3,ISG15,MAP3K1,NFKB2,NFKBIA,RELA,RNF216,SIKE1,TRAF2,TRAF3"
Neuroinflammation Signaling Pathway,1.18,0.139,0,0,"ACVR2B,AKT1,BDNF,BIRC2,CASP3,CASP8,CCL2,CHP1,CREB3L2,CSF1R,CTNNB1,CYBB,FZD1,GABRR2,GAD1,GRIN2D,HLA-B,ICAM1,IDE,IKBKE,IL1B,IRAK2,IRF3,JAK3,MAPK13,MAPK7,NFKB2,NGF,PIK3C2B,PIK3R1,PIK3R3,PPP3CA,PPP3CC,RELA,RELB,SLC6A12,TGFB1,TGFB3,TGFBR3,TICAM1,TLR1,TLR3,TLR4,TLR6,TLR7,TRAF3"
RET signaling,1.1,0.195,0,0,"GAB2,GRB7,MAPK7,PIK3R1,PIK3R3,PRKACB,SHC3,SOS1"
Acetone Degradation I (to Methylglyoxal),1.1,0.195,0,0,"CYP1B1,CYP2E1,CYP2S1,CYP2U1,CYP4X1,DHRS7,HSD17B12,PTGR1"
Interleukin-1 family signaling,1.1,0.155,0,0,"IL1A,IL1B,IL1RAPL1,IRAK2,MAP2K1,MAP2K6,NFKBIA,PELI1,PSMA2,PSMA3,PSMA4,PSMB2,PSMC1,PSMC2,PSME3,PSME4,PTPN2,RELA,RIPK2,UBE2V1"
Intrinsic Pathway for Apoptosis,1.09,0.182,0,0,"AKT1,BBC3,CASP3,CASP7,CASP8,GSDME,PPP3CC,SEPTIN4,TFDP1,TP53"
WNK Renal Signaling Pathway,1.05,0.157,0,0,"AKT1,ANAPC1,ANAPC11,ANAPC4,ASIC3,BIRC2,CBL,OSR1,PIK3C2B,PIK3R1,PIK3R3,PRKCD,PRKCI,SLC12A4,SLC12A7,STK39,WNK4"
Remodeling of Epithelial Adherens Junctions,1.03,0.169,0,0,"ACTN1,APC,ARPC4,CTNNA1,CTNNB1,EXOC2,HGS,MAPRE1,MAPRE2,NME1,TUBA1A,TUBG1"
Interconversion of nucleotide di- and triphosphates,1.01,0.207,0,0,"AK4,CTPS2,GLRX,NME1,RRM2,TXNRD1"
Multiple Sclerosis Signaling Pathway,1.01,0.142,0,0,"BRAF,C5,CAPN10,CAPNS1,CASP8,GAS5,GRIN2D,HLA-B,IL1A,IL1B,JARID2,MAPK13,MTF2,NFKB2,NLRP1,P2RX4,PARP9,PPARD,PPARG,RBBP4,TGFB1,TGFB3,TIPARP,TLR1,TLR3,TLR4,TLR6,TLR7,TNFSF12,TNFSF15,TNFSF9"
Germ layer formation at gastrulation,0.948,0.235,0,0,"BMP4,CTNNB1,LEF1,SMAD4"
Nitric Oxide Signaling in the Cardiovascular System,0.929,0.15,0,0,"AKT1,ARG2,ATP2A1,CACNA1F,CACNA2D2,CACNG7,CAV1,HSP90B1,KDR,MAP2K1,PDE2A,PDGFC,PIK3C2B,PIK3R1,PIK3R3,PRKACB,PRKCD,PRKCI"
Signaling by ALK,0.906,0.194,0,0,"CD274,HDAC1,JAK3,MYC,PIK3R1,PTN"
Metabolism of amine-derived hormones,0.877,0.222,0,0,"DBH,DIO2,DUOX1,DUOX2"
Gastrin-CREB signalling pathway via PKC and MAPK,0.877,0.222,0,0,"EGFR,HBEGF,MAPK7,SOS1"
Formation of definitive endoderm,0.877,0.222,0,0,"CTNNB1,GATA6-AS1,LINC00261,SMAD4"
SUMOylation of RNA binding proteins,0.832,0.17,0,0,"NDC1,NUP160,NUP188,NUP214,NUP42,NUP50,NUP62,NUP93"
Activation of Matrix Metalloproteinases,0.809,0.182,0,0,"MMP1,MMP10,MMP16,SPOCK3,TIMP1,TIMP2"
Bupropion Degradation,0.805,0.192,0,0,"CYP1B1,CYP2E1,CYP2S1,CYP2U1,CYP4X1"
NAD Signaling Pathway,0.771,0.139,0,0,"AKT1,ERN1,H1-10,IDH2,NAMPT,NFKB2,PARP9,PIK3C2B,PIK3R1,PIK3R3,POLR2C,POLR2L,POLRMT,PPARGC1A,PRKAB2,SIRT4,SLC29A3,SREBF1,TGFB1,TIPARP,TP53"
Dopamine Receptor Signaling,0.759,0.153,0,0,"ADCY6,ADCY7,COMT,NCS1,PPP2R1B,PPP2R2A,PPP2R2D,PPP2R5A,PPP2R5D,PRKACB,PTS"
Valine Degradation I,0.753,0.2,0,0,"ACADSB,BCAT2,BCKDHB,HIBADH"
Growth Hormone Signaling,0.73,0.151,0,0,"PIK3C2B,PIK3R1,PIK3R3,PRKCD,PRKCI,SOCS2,SOCS4,SOCS7,SRF,STAT5A,STAT5B"
Ephrin B Signaling,0.73,0.151,0,0,"AXIN1,CBL,CTNNB1,EFNB2,EPHB4,GNAI1,GNB1,GNG11,KALRN,PAK1,PTK2"
Nucleotide catabolism,0.723,0.171,0,0,"ADPRM,ENTPD3,NT5M,NUDT18,SAMHD1,XDH"
UVA-Induced MAPK Signaling,0.7,0.143,0,0,"CASP3,EGFR,MAPK13,PARP9,PIK3C2B,PIK3R1,PIK3R3,PLCB3,PLCD3,RAP1A,RASD1,RRAS,TIPARP,TP53"
Amyloid Processing,0.661,0.154,0,0,"AKT1,CAPN10,CAPNS1,CDK5,CSNK1D,CSNK1E,MAPK13,PRKACB"
Th2 Pathway,0.652,0.135,0,0,"ACVR2B,BHLHE41,CCR3,GATA3,HLA-B,ICAM1,IL24,JAK3,NOTCH1,NOTCH2,NOTCH3,PIK3C2B,PIK3R1,PIK3R3,STAT5A,STAT5B,STAT6,TGFB1,TGFBR3"
MIF Regulation of Innate Immunity,0.605,0.152,0,0,"CD14,NFKB2,NFKBIA,RELA,RELB,TLR4,TP53"
Nephrin family interactions,0.602,0.174,0,0,"ACTN1,FYN,PIK3R1,SPTBN1"
SUMOylation of transcription cofactors,0.437,0.136,0,0,"HIPK2,MBD1,NRIP1,PPARGC1A,SUMO3,ZNF350"
Spliceosomal Cycle,0.423,0.132,0,0,"CASC3,DDX23,PLRG1,SF1,SF3B2,XAB2,YJU2"
Arachidonic acid metabolism,0.413,0.133,0,0,"CYP1B1,CYP2U1,GGT5,MAPKAPK2,PON2,PTGR1"
LPS/IL-1 Mediated Inhibition of RXR Function,0.401,0.117,0,0,"ACSL3,ALDH16A1,ALDH1L1,APOE,CD14,CHST15,CHST2,CHST4,CRAT,CYP2E1,CYP2S1,CYP2U1,ECSIT,FABP5,GSTO1,HS3ST1,HS6ST1,IL1A,IL1B,IL1RAPL1,MAP2K7,MAP3K1,MGST1,MGST2,NDST1,NDST3,NGFR,PPARA,PPARGC1A,SCARB1,SREBF1,TLR4,TNFRSF11B,TNFRSF1B,TRAF2"
Peroxisomal lipid metabolism,0.39,0.138,0,0,"CRAT,CROT,ECI2,SCP2"
SUMOylation of intracellular receptors,0.39,0.138,0,0,"PPARA,PPARG,SUMO3,VDR"
Gluconeogenesis I,0.363,0.133,0,0,"ENO2,MDH2,ME3,PGAM1"
SPINK1 Pancreatic Cancer Pathway,0.357,0.123,0,0,"CPA4,CPE,CPM,CPQ,CTSA,KLK14,PRSS3,TGFB1"
GDNF Family Ligand-Receptor Interactions,0.322,0.118,0,0,"DOK3,MAP2K1,PIK3C2B,PIK3R1,PIK3R3,RAP1A,RASD1,RRAS,SOS1"
TP53 Regulates Metabolic Genes,0.32,0.118,0,0,"AGO2,AGO4,AKT1,COX7B,LAMTOR3,PRKAB2,RRAGC,SLC38A9,TP53,TXNRD1"
GABAergic Receptor Signaling Pathway (Enhanced),0.303,0.114,0,0,"ADCY6,ADCY7,CACNA1F,CACNA2D2,CACNG7,CATSPER3,GABRR2,GAD1,GNAI1,GNB1,GNG11,GRIN2D,NLGN3,PRKACB,SLC12A2,SLC6A12"
NR1H2 and NR1H3-mediated signaling,0.293,0.118,0,0,"AGO2,AGO4,APOE,NRIP1,SCD,SREBF1"
MAPK targets/ Nuclear events mediated by MAP kinases,0.293,0.121,0,0,"MAPK7,MAPKAPK2,PPP2R1B,PPP2R5D"
Late endosomal microautophagy,0.272,0.118,0,0,"ARL13B,CHMP3,TSG101,VPS37A"
Meiotic synapsis,0,0.0727,0,0,"H2AC6,SMC1A,TERF1,TERF2IP"
Class B/2 (Secretin family receptors),0,0.105,0,0,"FZD1,FZD2,FZD5,GIPR,GNB1,GNG11,SHH,UCN,UCN2,WNT2B"
Hematoma Resolution Signaling Pathway,0,0.0965,0,0,"AXL,C5,CYBB,CYGB,GRIN2D,IL1A,IL1B,LRP1,MAPK13,MMP1,MMP10,MMP16,NDUFA10,NFKB2,PPARG,PRKAB2,S1PR2,STAT6,TGFB1,TGFB3,TLR4,TNFSF12,TNFSF15,TNFSF9,TUBA1A"
Post-translational modification: synthesis of GPI-anchored proteins,0,0.0645,0,0,"CPM,MELTF,PIGM,PIGZ,RAET1G,RAET1L"
CD28 Signaling in T Helper Cells,0,0.0364,0,0,"AKT1,ARPC4,CHP1,FYN,HLA-B,IKBKE,MALT1,MAP2K1,MAP3K1,NFKB2,NFKBIA,PAK1,PIK3C2B,PIK3R1,PIK3R3,PPP3CA,PPP3CC,RELA,RELB"
Dendritic Cell Maturation,0,0.0445,0,0,"AKT1,COL1A2,CREB3L2,DDR2,HLA-B,ICAM1,IFNAR1,IKBKE,IL1A,IL1B,IL32,MAP3K14,MAPK13,NFKB2,NFKBIA,NGFR,PIK3C2B,PIK3R1,PIK3R3,PLCB3,PLCD3,RELA,RELB,TLR3,TLR4,TNFRSF11B,TNFRSF1B"
ICOS-ICOSL Signaling in T Helper Cells,0,0.0273,0,0,"AKT1,CHP1,GAB2,HLA-B,IKBKE,NFKB2,NFKBIA,PIK3C2B,PIK3R1,PIK3R3,PPP3CA,PPP3CC,RELA,RELB"
Type I Diabetes Mellitus Signaling,0,0.0449,0,0,"CASP3,CASP8,CPE,CYC1,GAD1,HLA-B,IKBKE,IL1B,MAP2K6,MAP2K7,MAP3K14,MAPK13,NFKB2,NFKBIA,NGFR,RELA,RELB,SOCS2,SOCS4,SOCS7,TNFRSF11B,TNFRSF1B,TRAF2"
Retinoic acid Mediated Apoptosis Signaling,0,0.0984,0,0,"CASP3,CASP8,IFNAR1,PARP9,TIPARP,TNFRSF10D"
RHOA Signaling,0,0.0976,0,0,"ARHGEF1,ARPC4,KTN1,MSN,MYL12A,MYL12B,PKN1,PLEKHG5,PTK2,RND3,SEPTIN4,SEPTIN6"
Antiproliferative Role of TOB in T Cell Signaling,0,0.0188,0,0,"CCNE2,CDC34,DPP7,PABPC4,RB1,SMAD4,TGFB1,TGFB3"
Nicotine Degradation III,0,0.08,0,0,"CSGALNACT1,CYP1B1,CYP2E1,CYP2S1,CYP2U1,CYP4X1"
Melatonin Degradation I,0,0.0706,0,0,"CSGALNACT1,CYP1B1,CYP2E1,CYP2S1,CYP2U1,CYP4X1"
Nicotine Degradation II,0,0.0706,0,0,"CSGALNACT1,CYP1B1,CYP2E1,CYP2S1,CYP2U1,CYP4X1"
Superpathway of Melatonin Degradation,0,0.0659,0,0,"CSGALNACT1,CYP1B1,CYP2E1,CYP2S1,CYP2U1,CYP4X1"
Oxidative Phosphorylation,0,0.0556,0,0,"COX7B,CYB5B,CYC1,NDUFA10,SDHA,UQCRB"
Coronavirus Replication Pathway,0,0.108,0,0,"COPE,COPG1,COPZ1,IFITM1,IFITM2,MT-RNR2,RPL13A,RPL14,RPL18A,RPL28,RPL3,RPL39L,RPL4,RPL5,RPS16,RPS19,TMPRSS2,TUBA1A"
FAK Signaling,0,0.083,0.108,0,"ACKR3,ACVR2B,ADGRD1,ADGRF4,ADGRG6,ADGRV1,ADORA2B,ADRA1B,ADRB2,AGO2,AKT1,APC,ARPC4,CAPN10,CAPNS1,CCND1,CCR3,CCRL2,CELSR3,COL1A2,CTNNB1,EFNB2,EGFR,ELF1,ELF3,ELF4,ETS1,FFAR4,FPR1,FYN,FZD1,FZD2,FZD5,GIPR,GIT1,GPER1,GPR132,GPR17,GPR176,GPR180,GPR39,GPR78,HCAR1,IFNAR1,IL15RA,IL17RD,IL17RE,ITGAE,ITGB3,ITGB6,ITGB8,KDR,LEF1,LGR5,MAP2K1,MAPK13,MAPK7,MAPKAPK5,MYC,NFKB2,NPY1R,P2RY11,P2RY2,PAK1,PDGFRB,PIK3C2B,PIK3R1,PIK3R3,PTGER4,PTGFR,PTK2,RAP1A,RASD1,RRAS,S1PR2,SOCS2,SOCS4,SOCS7,SOS1,SSTR2,TCF3,TGFB1,TGFB3,TGFBR3,TP53,WIPF1"
NF-κB Signaling,0,0.0753,0.156,0,"AKT1,BMP2,BMP4,BMPR1A,BRAF,CASP8,EGFR,HDAC1,IGF2R,IL1A,IL1B,KDR,MALT1,MAP2K6,MAP2K7,MAP3K1,MAP3K14,NFKB2,NFKBIA,NGF,NGFR,PDGFRB,PELI1,PIK3C2B,PIK3R1,PIK3R3,PRKACB,RAP1A,RASD1,RELA,RELB,RRAS,TGFBR3,TLR1,TLR3,TLR4,TLR6,TLR7,TNFRSF11B,TNFRSF1B,TRAF2,TRAF3,UBE2V1"
Binding and Uptake of Ligands by Scavenger Receptors,0,0.0789,0.333,0,"APOE,APOL1,COL1A2,COL4A1,COL4A2,HSP90B1,HSPH1,LRP1,SCARB1"
Activation of anterior HOX genes in hindbrain during early embryogenesis,0,0.0833,0.378,0,"CTCF,H2AC6,HOXD1,POLR2C,POLR2L,RBBP4,WDR5"
FcγRIIB Signaling in B Lymphocytes,0,0.0225,0.378,0,"AKT1,CACNA1F,CACNA2D2,CACNG7,CATSPER3,PIK3C2B,PIK3R1,PIK3R3,RAP1A,RASD1,RRAS,SOS1"
PI3K Signaling in B Lymphocytes,0,0.0405,0.426,0,"AKT1,ATF3,ATF5,CBL,CD180,CHP1,FYN,IKBKE,MALT1,MAP2K1,NFKB2,NFKBIA,PIK3R1,PLCB3,PLCD3,PPP3CA,PPP3CC,PRKCI,RAP1A,RASD1,RELA,RELB,RRAS,TLR4"
Gap junction trafficking and regulation,0,0.098,0.447,0,"AP2M1,DAB2,GJC1,MYO6,TUBA1A"
Carboxyterminal post-translational modifications of tubulin,0,0.111,0.447,0,"AGBL3,TTLL11,TTLL3,TTLL4,TUBA1A"
Sensory perception of taste,0,0.106,0.447,0,"CALHM3,GNB1,SCN2A,SCNN1D,TRPM4"
Inositol phosphate metabolism,0,0.104,0.447,0,"INPPL1,ITPKC,PLCB3,PLCD3,SYNJ1"
PXR/RXR Activation,0,0.0746,0.447,0,"AKT1,PPARA,PPARGC1A,PRKACB,RELA"
nNOS Signaling in Skeletal Muscle Cells,0,0.1,0.447,0,"CACNA1F,CACNA2D2,CACNG7,CATSPER3,DAG1"
Neurovascular Coupling Signaling Pathway,0,0.0733,0.5,0,"ADORA2B,CACNA1F,CACNA2D2,CACNG7,CATSPER3,ENTPD3,GABRR2,GAD1,GRIN2D,KCNJ14,PLAAT4,PLAAT5,PLCB3,PLD2,PNPLA2,PRKACB,PTGER4"
NUR77 Signaling in T Lymphocytes,0,0.025,0.577,0,"CASP3,CHP1,HDAC1,HDAC7,HDAC9,HLA-B,MAP2K1,MAPK7,NR4A1,PPP3CA,PPP3CC,PRKCD,PRKCI"
Chaperone Mediated Autophagy Signaling Pathway,0,0.0706,0.603,0,"AKT1,ATP6V0A1,ATP6V0D1,ATP6V0E1,ATP6V0E2,ATP6V1C1,ATP6V1G1,ATP6V1H,BAG1,BBC3,CCND1,CHP1,CIP2A,CTSA,GFAP,HSP90B1,HSPA5,IDH1,IDH2,IL1B,KAT2B,MAPK13,MAPKAP1,MARCHF5,MMP1,MMP10,MMP16,MYC,NFKB2,NFKBIA,PIK3C2B,PIK3R1,PIK3R3,PPP3CA,PPP3CC,PRKAB2,PRR5L,PSMA2,PSMA3,PSMA4,PSMB2,RELA,RND3,TCIRG1,TP53"
Dilated Cardiomyopathy Signaling Pathway,0,0.0993,0.632,0,"ADCY6,ADCY7,AKT1,CACNA1F,CACNA2D2,CACNG7,CAMK4,CATSPER3,DAG1,LAMA4,MAPK13,MYO10,MYO18A,PDE2A,PRKACB"
Systemic Lupus Erythematosus in T Cell Signaling Pathway,0,0.0667,0.632,0,"AKT1,BCL6,CAMK4,CASP2,CASP3,CASP4,CASP6,CASP7,CASP8,CBL,CHP1,CREB3L2,ELF1,GADD45A,GNAI1,HLA-B,MAP2K1,MAP2K6,MAP2K7,MSN,PIK3C2B,PIK3R1,PIK3R3,PPP2R1B,PPP2R2A,PPP2R2D,PPP2R5A,PPP2R5D,PPP3CA,PPP3CC,PTK2,RAP1A,RASD1,RHOBTB1,RHOBTB2,RHOC,RHOJ,RHOT1,RND3,RRAS,SELPLG,SOS1,YES1"
PKCθ Signaling in T Lymphocytes,0,0.0482,0.655,0,"CACNA1F,CACNA2D2,CACNG7,CATSPER3,CHP1,FYN,HLA-B,IKBKE,MALT1,MAP3K1,MAP3K10,MAP3K14,MAP3K4,MAP3K9,NFKB2,NFKBIA,PIK3C2B,PIK3R1,PIK3R3,PPP3CA,PPP3CC,RAP1A,RASD1,RELA,RELB,RRAS,SOS1"
Gustation Pathway,0,0.0948,0.688,0,"ADCY6,ADCY7,ASIC3,CACNA1F,CACNA2D2,CACNG7,CALHM3,CATSPER3,FFAR4,GABRR2,LIPA,LIPH,P2RX4,P2RX5,P2RX6,P2RY11,P2RY2,PRKACB,SCN2A,TRPM4"
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell,0,0.105,0.707,0,"ADCY6,ADCY7,ADRB2,GIPR,GNAI1,PLCB3,PLCD3,PRKACB"
Systemic Lupus Erythematosus in B Cell Signaling Pathway,0,0.0714,0.714,0,"AKT1,CBL,CCND1,CCND3,CHP1,CTNNB1,FRK,FYN,IFIH1,IFIT2,IFIT3,IFNAR1,IL1A,IL1B,INPP5F,INPP5K,INPPL1,IRF3,ISG15,MALT1,MAP2K1,MAP3K14,MYC,NFKB2,PAG1,PIK3C2B,PIK3R1,PIK3R3,PLAAT4,PPP3CA,PPP3CC,PRKCD,PRKCI,RAP1A,RASD1,RELA,RELB,RRAS,SHC3,SOS1,SYNJ1,TGFB1,TGFB3,TICAM1,TLR3,TLR7,TNFSF12,TNFSF15,TNFSF9,TRAF2,TRAF3,YES1"
CTLA4 Signaling in Cytotoxic T Lymphocytes,0,0.0426,0.784,0,"AKT1,AP1S1,AP2A1,AP2M1,FRK,FYN,HLA-B,MALT1,MAPK13,NFKB2,PIK3C2B,PIK3R1,PIK3R3,PLD2,PLD3,PPP2R1B,PPP2R2A,PPP2R2D,PPP2R5A,PPP2R5D,RAP1A,RASD1,RRAS,TGFB1,TGFB3,YES1"
NFKBIE Signaling Pathway,0,0.029,0.832,0,"IKBKE,NFKB2,NFKBIA,NGFR,PPP6C,RELA,RELB,TNFRSF11B,TNFRSF1B,TNFSF12,TNFSF15,TNFSF9,TRAF2"
Th1 Pathway,0,0.104,0.832,0,"CD274,GATA3,HLA-B,ICAM1,IFNAR1,JAK3,MAP2K6,NOTCH1,NOTCH2,NOTCH3,PIK3C2B,PIK3R1,PIK3R3"
IL-4 Signaling,0,0.0539,0.898,0,"AKT1,COL16A1,COL1A2,COL20A1,COL4A1,COL4A2,COL4A5,COL6A1,COL6A2,COL6A3,COL8A1,CREB3L2,EIF4EBP1,GATA3,GNAI1,JAK3,MAPK13,MAPKAP1,NFKB2,PIK3C2B,PIK3R1,PIK3R3,PRR5L,RAP1A,RASD1,RRAS,SOS1,STAT6,TGFB1,TGFB3,TIMP3"
